School,Commits,5-stars,4-stars,Avg. Recruiting Pts,Avg. Rank,2016 Avg. Rec Pts,2017 Avg. Rec Pts,2018 Avg. Rec Pts,2019 Avg. Rec Pts,2020 Avg. Rec Pts,5yrwinperc,KenPom,Tournament Berths,Tournament Wins
California,20,0,3,41.578,70.2,27.27,47.32,52.59,43.34,37.37,0.38,1.11,0,0
Oregon State,20,0,2,40.36,70.4,44.43,50.26,35.73,41.17,30.21,0.484,6.386,1,3
Texas A&M,23,0,6,51.83,40.8,61.3,55.31,29.57,53.8,59.17,0.521,8.552,1,2
Missouri,17,2,4,44.05,67.2,39.37,68.61,46.4,51.65,14.22,0.481,9.566,2,0
Ole Miss,22,0,3,44.946,59,42.23,40.67,48.99,50.91,41.93,0.528,10.39,1,0
South Carolina,21,0,1,42.448,65.6,40.84,42.62,48.83,49.42,30.53,0.539,11.176,1,4
Vanderbilt,16,2,3,48.414,49.8,38.46,47.63,64.7,47.63,43.65,0.385,6.732,1,0
Mississippi State,23,0,12,54.276,38,65.63,42.61,63.6,45.77,53.77,0.611,13.372,1,0
Arkansas,23,0,8,48.642,53.8,53.98,53.39,54.1,16.78,64.96,0.663,15.802,3,4
Marquette,13,0,8,46.304,57.6,58.62,45.01,28.17,40.56,59.16,0.601,14.874,2,0
Xavier,19,0,8,55.36,31.4,54.66,63.12,42.66,58.51,57.85,0.646,15.088,2,4
Creighton,14,0,7,48.666,50.2,47.16,56.27,53,32.1,54.8,0.679,17.986,3,2
DePaul,18,0,2,45.168,59.4,37.16,36.2,44.44,55.07,52.97,0.4,4.34,0,0
Butler,16,0,2,41.892,68.8,45.63,43.49,28.57,39.68,52.09,0.595,14.556,2,3
Georgetown,18,0,4,43.632,60.6,19.53,50.09,55.69,46.86,45.99,0.497,9.668,1,0
St. John's,17,0,4,42.434,72.4,57.31,49.08,51.4,16.19,38.19,0.528,9.472,1,0
Seton Hall,13,0,2,38.636,77.6,42.26,49.73,35.02,33.46,32.71,0.62,15.414,3,1
Providence,13,0,7,44.732,60.6,45.67,56.93,61.45,27.43,32.18,0.572,11.79,2,0
San Diego State,12,0,2,35.636,86.8,44.73,35.51,40.54,17.43,39.97,0.719,14.454,2,0
Houston,15,0,2,37.168,80.8,14.02,41.79,35.39,45.14,49.5,0.79,21.424,3,7
Wichita State,25,0,0,39.016,75,37.76,21,44.15,51.15,41.02,0.736,16.552,3,1
Loyola Chicago,11,0,0,26.704,112,15.47,28.52,35.4,38.35,15.78,0.701,11.642,2,6
Dayton,12,0,2,34.428,88.6,37.76,32.02,37.33,32.32,32.71,0.675,12.296,1,0
,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
